42.77,24.8,272.15
44.32,26.8,0
43.41,26.1,0
44.09,25.2,0
43.84,25.8,0
45.22,25.8,0
44.69,25.8,325.54
89.25,25.2,263.44
1214.43,25.8,277.59
56.47,25.5,0
54.61,25.2,0
45.31,24.2,378.69
47.06,24.8,390.96
44.3,24.8,397.34
43.51,23.9,309.66
27.65,24.8,410.59
158.53,25.8,0
156.46,25.8,0
158.19,25.8,145.39
43.15,25.2,299.05
42.88,25.8,299.05
140.24,26.8,130.63
140.05,24.8,320.88
139.77,25.8,397.34
138.61,24.8,292.94
5.68,25.5,216.63
0.86,24.5,256.78
233.77,24.8,320.88
137.44,24.2,236.84
140.99,24.8,330.31
155.81,24.8,31.94
10.62,24.2,197.83
153.27,24.8,0
153.68,24.2,0
64.96,25.2,0
49.61,24.8,0
250.89,24.8,0
106.54,24.8,0
49.37,24.8,0
43.65,24.2,471.3
154.21,24.2,355.9
155,24.5,484.28
155.17,24.2,0
51.33,24.8,78.82
44.5,24.8,242.71
43.48,24.5,303.22
216.12,24.8,0
155.93,24.8,0
156.55,25.2,27.29
222.57,24.5,157.92
43.48,24.8,154.08
139.21,24.5,0
140.39,24.8,0
157.09,25.2,0
226.64,25.5,0
45.41,25.5,151.83
44.45,25.2,217.89
155.93,25.5,0
226.24,25.8,0
41.25,24.8,424.55
43.66,24.8,424.55
42.77,24.8,272.15
229.35,24.8,107.86
7.56,25.5,0
225.97,25.5,0
45.33,24.8,390.96
45.52,24.8,410.59
45.82,25.5,407.21
62.96,25.2,0
54.19,24.8,29.47
48.24,24.8,355.9
49.22,24.8,403.88
43.24,25.5,0
46.08,25.2,146.09
45.77,25.5,325.54
42.34,25.5,0
43.17,25.5,0
44.28,24.8,340.19
44.2,24.8,446.95
46.06,24.8,471.3
83.81,25.5,0
43.77,25.8,367.02
42.57,24.8,619.05
51.54,25.2,612.54
95.42,25.5,0
154.78,25.5,68.73
227.44,25.5,212.9
45.43,25.8,0
226.12,25.8,0
43.42,25.2,139.34
46.25,24.8,83.67
43.9,25.5,0
43.29,25.8,311.86
44.93,25.2,355.9
42.88,25.8,0
200.47,25.8,0
